MAKE,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,COEMISSIONS,FUEL_X,FUEL_Z,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_M5,FUEL CONSUMPTION
3.0,3.02,2.5,4,244,1,0,1,0,0,11.8
3.25,3.08,3.4,6,262,1,0,1,0,0,13.6
4.0,3.53,2.2,4,278,1,0,1,0,0,13.8
2.75,2.99,1.8,4,209,1,0,1,0,0,10.3
3.75,4.34,4.3,6,329,1,0,0,0,1,16.3
3.5,3.42,2.3,5,274,0,1,1,0,0,13.9
3.75,3.42,3.0,6,265,1,0,1,0,0,13.4
4.5,4.0,5.3,8,391,1,0,1,0,0,18.9
3.0,3.08,2.0,4,228,1,0,0,0,1,11.2
3.75,2.99,2.8,6,288,0,1,1,0,0,14.6
3.75,4.34,4.8,8,366,1,0,1,0,0,17.3
3.25,4.0,2.7,4,301,1,0,1,0,0,14.2
3.75,4.34,6.0,8,435,1,0,1,0,0,21.4
4.0,4.34,4.2,6,340,1,0,1,0,0,16.7
3.0,3.08,2.0,4,239,1,0,1,0,0,12.0
3.75,3.08,2.5,6,271,0,1,0,1,0,13.8
4.75,4.34,4.7,8,357,1,0,1,0,0,17.6
3.25,4.0,3.4,6,334,1,0,1,0,0,15.7
2.75,3.02,1.3,4,156,1,0,0,0,1,7.6
3.0,3.08,2.0,4,228,1,0,0,0,1,11.2
3.75,3.02,5.7,8,308,0,1,1,0,0,15.5
4.0,4.0,4.0,6,336,1,0,0,1,0,16.5
3.75,3.02,3.5,6,308,0,1,0,0,0,15.4
3.25,4.34,2.7,4,301,1,0,1,0,0,14.2
4.75,4.83,5.9,8,423,1,0,1,0,0,21.8
4.0,4.0,5.4,8,430,0,1,1,0,0,21.4
3.5,3.42,2.5,6,271,0,1,0,0,1,13.3
2.75,4.0,2.0,4,251,1,0,1,0,0,11.7
4.0,3.08,2.5,6,260,1,0,1,0,0,13.1
3.25,3.02,1.8,4,230,1,0,1,0,0,11.4
3.0,3.08,1.9,4,165,0,0,0,0,1,6.7
3.75,4.5,5.0,8,373,1,0,1,0,0,18.2
3.5,3.97,2.5,6,313,1,0,1,0,0,15.2
2.75,3.31,2.2,4,244,1,0,1,0,0,12.1
3.75,2.99,4.4,8,320,0,1,0,1,0,15.5
3.75,3.08,2.5,6,281,0,1,0,0,1,13.9
4.75,4.83,3.9,6,393,1,0,0,0,0,18.3
3.5,3.61,3.5,6,283,1,0,0,0,0,14.4
3.5,3.67,1.8,4,260,0,1,0,0,1,13.1
3.25,3.08,1.5,4,179,1,0,1,0,0,8.6
4.0,4.0,4.6,8,359,1,0,1,0,0,17.8
4.0,4.23,3.2,6,294,0,1,0,0,0,15.0
5.0,4.0,4.0,8,403,0,1,1,0,0,19.6
4.5,4.5,4.3,6,368,1,0,1,0,0,17.8
3.5,3.67,3.2,6,269,0,1,0,1,0,13.6
4.0,3.42,3.9,8,313,1,0,0,1,0,15.9
3.5,3.31,3.0,6,283,1,0,1,0,0,14.3
3.5,3.61,3.2,6,276,1,0,1,0,0,14.2
3.5,3.61,3.8,6,276,1,0,1,0,0,14.4
3.25,3.08,2.4,4,244,1,0,0,0,1,12.5
3.75,4.0,2.0,4,251,1,0,1,0,0,11.7
3.5,3.08,2.3,5,274,0,1,1,0,0,13.9
3.0,2.99,2.2,4,239,1,0,1,0,0,11.7
3.5,3.42,3.8,6,262,1,0,1,0,0,13.5
3.5,3.08,1.8,4,246,0,1,0,0,1,12.1
3.0,3.02,1.6,4,207,1,0,0,0,1,10.4
3.75,3.08,2.8,6,258,0,1,0,0,1,13.0
3.5,3.42,2.3,4,258,1,0,0,0,1,13.1
5.0,4.0,4.0,8,403,0,1,1,0,0,19.6
4.75,3.97,3.3,6,288,1,0,1,0,0,14.5
4.0,3.08,2.0,4,219,1,0,0,0,1,11.1
3.75,3.67,3.2,6,281,0,1,0,0,1,13.9
3.0,2.99,2.0,4,248,1,0,1,0,0,12.5
4.5,4.0,4.3,6,327,1,0,0,0,1,16.3
4.0,4.34,5.4,8,423,1,0,1,0,0,20.7
3.25,3.61,3.8,6,276,1,0,1,0,0,14.4
3.25,3.08,2.4,4,242,1,0,1,0,0,12.1
3.5,3.31,2.3,5,274,0,1,1,0,0,13.9
